Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1885,-1,-0.45,-0.22,-0.47,-0.58,-0.44,-0.33,-0.4,-0.38,-0.36,-0.37,-0.1
1886,-0.74,-0.83,-0.71,-0.36,-0.32,-0.36,-0.13,-0.42,-0.32,-0.3,-0.38,-0.2
1887,-1.07,-0.69,-0.42,-0.37,-0.24,-0.19,-0.23,-0.53,-0.19,-0.48,-0.26,-0.42
1888,-0.48,-0.6,-0.63,-0.21,-0.14,-0.02,0.01,-0.2,-0.18,-0.03,0,-0.22
1889,-0.26,0.31,-0.02,0.17,-0.03,-0.06,-0.07,-0.2,-0.3,-0.41,-0.61,-0.54
1890,-0.63,-0.56,-0.46,-0.24,-0.35,-0.15,-0.23,-0.38,-0.34,-0.09,-0.62,-0.46
1891,-0.47,-0.68,-0.16,-0.35,-0.15,-0.12,-0.12,-0.12,-0.08,-0.28,-0.52,-0.03
1892,-0.49,-0.15,-0.67,-0.45,-0.23,-0.05,-0.37,-0.32,-0.2,-0.28,-0.82,-0.65
1893,-1.52,-0.97,-0.31,-0.3,-0.43,-0.18,-0.13,-0.33,-0.28,-0.28,-0.33,-0.6
1894,-0.91,-0.42,-0.21,-0.54,-0.26,-0.4,-0.2,-0.26,-0.32,-0.27,-0.47,-0.35
1895,-0.69,-0.81,-0.49,-0.18,-0.29,-0.2,-0.18,-0.26,-0.05,-0.09,-0.12,-0.22
1896,-0.35,-0.18,-0.49,-0.6,-0.16,0.08,0.01,-0.1,-0.12,0.05,-0.2,-0.21
1897,-0.4,-0.42,-0.4,-0.05,0.14,-0.06,0.04,-0.06,-0.06,-0.14,-0.26,-0.26
1898,0.07,-0.42,-0.78,-0.27,-0.26,-0.06,-0.09,-0.16,-0.16,-0.36,-0.5,-0.25
1899,-0.11,-0.64,-0.57,-0.23,-0.23,-0.34,-0.16,-0.06,-0.04,0.05,0.38,-0.45
1900,-0.6,-0.13,0.07,-0.09,-0.02,-0.08,-0.1,-0.07,-0.01,0.25,-0.1,-0.01
1901,-0.32,-0.08,0.29,0.12,-0.11,0.02,0.03,-0.15,-0.26,-0.31,-0.21,-0.39
1902,-0.15,0.03,-0.37,-0.37,-0.37,-0.34,-0.31,-0.26,-0.32,-0.28,-0.43,-0.58
1903,-0.2,0.13,-0.12,-0.44,-0.41,-0.43,-0.43,-0.53,-0.48,-0.47,-0.41,-0.55
1904,-0.76,-0.58,-0.39,-0.49,-0.42,-0.47,-0.58,-0.53,-0.62,-0.37,-0.07,-0.33
1905,-0.41,-0.81,-0.22,-0.45,-0.28,-0.26,-0.2,-0.22,-0.18,-0.25,0.1,-0.16
1906,-0.55,-0.52,-0.19,0.05,-0.24,-0.11,-0.25,-0.15,-0.23,-0.16,-0.39,0.04
1907,-0.57,-0.71,-0.3,-0.44,-0.57,-0.49,-0.39,-0.37,-0.39,-0.18,-0.54,-0.56
1908,-0.53,-0.27,-0.69,-0.47,-0.29,-0.3,-0.35,-0.56,-0.3,-0.44,-0.62,-0.54
1909,-0.92,-0.45,-0.66,-0.64,-0.48,-0.5,-0.43,-0.34,-0.36,-0.32,-0.11,-0.56
1910,-0.35,-0.37,-0.49,-0.4,-0.28,-0.43,-0.36,-0.38,-0.42,-0.3,-0.57,-0.8
1911,-0.69,-0.57,-0.63,-0.44,-0.44,-0.32,-0.35,-0.43,-0.37,-0.18,-0.19,-0.29
1912,-0.34,-0.16,-0.59,-0.15,-0.11,-0.12,-0.51,-0.76,-0.79,-0.83,-0.5,-0.55
1913,-0.55,-0.64,-0.46,-0.5,-0.54,-0.48,-0.5,-0.45,-0.42,-0.39,-0.13,0.12
1914,0.18,-0.1,-0.35,-0.37,-0.18,-0.22,-0.33,-0.27,-0.29,0,-0.21,-0.04
1915,-0.26,-0.08,-0.23,0.08,-0.01,-0.11,-0.08,-0.15,-0.2,-0.26,-0.02,-0.25
1916,-0.08,-0.16,-0.38,-0.34,-0.35,-0.49,-0.33,-0.36,-0.48,-0.34,-0.46,-1.13
1917,-0.53,-0.68,-0.74,-0.64,-0.72,-0.48,-0.32,-0.39,-0.3,-0.62,-0.31,-1.05
1918,-0.69,-0.45,-0.24,-0.58,-0.48,-0.44,-0.33,-0.36,-0.25,-0.04,-0.21,-0.55
1919,-0.37,-0.41,-0.38,-0.23,-0.41,-0.39,-0.33,-0.3,-0.19,-0.08,-0.47,-0.55
1920,-0.15,-0.28,0.01,-0.2,-0.21,-0.25,-0.25,-0.32,-0.35,-0.39,-0.45,-0.71
1921,0.19,-0.08,-0.11,-0.17,-0.24,-0.15,-0.03,-0.29,-0.17,0,-0.09,-0.13
1922,-0.37,-0.62,-0.11,-0.16,-0.19,-0.15,-0.28,-0.36,-0.43,-0.32,-0.13,-0.14
1923,-0.18,-0.46,-0.39,-0.52,-0.39,-0.23,-0.28,-0.27,-0.17,0.07,0.16,0.1
1924,-0.28,-0.21,0.03,-0.28,-0.05,-0.19,-0.21,-0.26,-0.22,-0.23,0.11,-0.36
1925,-0.28,-0.38,-0.23,-0.16,-0.21,-0.25,-0.25,-0.18,-0.04,-0.08,0.22,0.23
1926,0.53,0.19,0.37,-0.11,-0.23,-0.19,-0.19,-0.05,-0.02,0.07,0.17,-0.29
1927,-0.28,-0.08,-0.46,-0.27,-0.12,-0.13,-0.07,-0.16,0.03,0.24,0.09,-0.37
1928,0.27,0.09,-0.23,-0.31,-0.17,-0.31,-0.1,-0.19,-0.16,-0.08,0.06,-0.04
1929,-0.56,-0.79,-0.19,-0.35,-0.27,-0.39,-0.35,-0.19,-0.2,-0.01,-0.02,-0.65
1930,-0.11,-0.19,0.11,-0.15,-0.2,-0.11,-0.03,0.02,-0.02,0.02,0.45,0.08
1931,0.01,-0.23,-0.06,-0.2,-0.14,0.15,0.08,0.09,0.17,0.36,0.26,0.1
1932,0.39,-0.18,-0.2,0.1,-0.09,-0.14,-0.14,-0.08,0.1,0.14,-0.32,-0.21
1933,-0.18,-0.3,-0.31,-0.17,-0.26,-0.31,-0.13,-0.14,-0.28,-0.17,-0.24,-0.55
1934,-0.15,0.33,-0.27,-0.29,0.08,-0.01,-0.03,-0.1,-0.14,0.13,0.27,0.18
1935,-0.39,0.56,0.03,-0.35,-0.29,-0.15,-0.04,-0.07,-0.06,0.12,-0.32,-0.17
1936,-0.29,-0.5,-0.13,-0.06,-0.01,0.04,0.09,0.03,0.07,0.07,0.15,0.15
1937,0.09,0.24,-0.23,-0.07,0.12,0.14,0.14,0.15,0.29,0.33,0.25,0
1938,0.35,0.28,0.34,0.31,0.03,-0.07,-0.03,0.08,0.15,0.32,0.31,-0.13
1939,0.03,-0.01,-0.24,-0.07,0.01,0,0.05,0.08,0.13,0.08,0.24,0.79
1940,-0.1,0.14,0.03,0.28,0.16,0.16,0.15,0.07,0.27,0.29,0.3,0.36
1941,0.18,0.47,0.12,0.12,0.24,0.21,0.25,0.19,0.1,0.5,0.18,0.19
1942,0.4,-0.09,-0.01,0.09,0.16,0.1,0,-0.08,0.11,0.28,0.26,0.27
1943,-0.1,0.38,0,0.31,0.23,-0.07,-0.02,0.1,0.14,0.46,0.36,0.37
1944,0.62,0.43,0.31,0.18,0.23,0.17,0.14,0.16,0.35,0.44,0.19,-0.01
1945,0.11,-0.06,0.09,0.29,0.08,0.08,0.06,0.28,0.2,0.24,0.09,-0.21
1946,0.34,0.09,0.12,0.31,0.03,-0.05,-0.04,-0.1,-0.04,0.02,0.07,-0.45
1947,-0.04,-0.04,0.28,0.23,0.06,0,-0.03,-0.04,-0.01,0.41,0.19,-0.05
1948,0.3,-0.15,-0.28,-0.03,0.17,0.04,0.01,0.03,-0.03,0.08,0.04,-0.39
1949,0.23,-0.09,0.04,-0.03,0.01,-0.2,-0.11,-0.04,-0.1,0.07,0.05,-0.14
1950,-0.29,-0.27,0.06,-0.22,-0.04,-0.06,-0.18,-0.2,-0.09,-0.06,-0.33,-0.13
1951,-0.36,-0.52,-0.18,0.06,0.17,-0.02,0.08,0.22,0.34,0.29,0.08,0.38
1952,0.17,0.17,-0.22,0.17,0.15,0.16,0.14,0.07,0.14,-0.01,-0.21,0.01
1953,0.24,0.37,0.25,0.41,0.24,0.25,0.21,0.18,0.17,0.27,0.08,0.22
1954,-0.24,0,-0.16,-0.01,-0.07,-0.04,-0.11,-0.01,0.09,0.13,0.34,-0.11
1955,0.42,-0.13,-0.43,-0.24,-0.13,-0.1,-0.05,0.06,-0.02,0.12,-0.34,-0.29
1956,-0.04,-0.32,-0.23,-0.26,-0.3,-0.2,-0.2,-0.28,-0.32,-0.28,-0.26,-0.1
1957,-0.14,-0.06,-0.1,-0.1,-0.06,0.12,0.11,0.16,0.12,0.06,0.12,0.24
1958,0.68,0.28,0.16,0.02,0.12,0.04,0.04,0.13,0.07,0.08,0.03,0.18
1959,0.24,0.16,0.33,0.22,0.04,0.14,0.05,0.09,0.13,-0.04,0.02,0.1
1960,0.15,0.42,-0.4,-0.13,0.03,0.19,0.09,0.11,0.12,0.05,-0.08,0.39
1961,0.17,0.29,0.22,0.14,0.07,0.18,0.06,0.05,-0.02,-0.04,0.08,-0.17
1962,0.28,0.36,0.3,0.22,0.02,-0.13,0.1,0.04,-0.02,0.13,0.12,0.1
1963,0.07,0.5,-0.11,0.04,-0.05,-0.04,0.1,0.14,0.13,0.42,0.43,0.02
